PetID,PetType,Breed,AgeMonths,Color,Size,WeightKg,Vaccinated,HealthCondition,TimeInShelterDays,AdoptionFee,PreviousOwner,AdoptionLikelihood
562,Perro,Golden Retriever,127,Gray,Small,13.582753406078904,1,1,1,175,1,0
563,Perro,Siamese,153,Gray,Medium,22.68031671488383,1,1,79,375,1,0
564,Ave,Parakeet,23,Black,Medium,29.992795339442285,0,0,89,68,0,1
565,Gato,Parakeet,152,Orange,Large,22.02300472806896,1,0,52,55,0,0
566,Conejo,Poodle,38,White,Small,4.311329626876833,1,0,35,118,1,0
567,Perro,Siamese,28,Orange,Medium,16.031242950446305,1,0,69,203,0,1
568,Conejo,Siamese,21,Orange,Large,18.03308594604781,1,0,5,419,0,1
569,Gato,Golden Retriever,107,Gray,Medium,6.052109577070339,0,1,17,414,0,0
570,Gato,Persian,146,Black,Medium,28.92385739116309,1,0,53,54,0,1
571,Gato,Parakeet,164,Brown,Large,6.091813551403873,0,1,52,37,0,0
572,Perro,Golden Retriever,99,Black,Large,6.14917967168346,0,0,14,242,0,0
573,Gato,Labrador,173,Orange,Small,27.539847001262093,1,0,29,200,0,1
574,Perro,Parakeet,119,Black,Medium,14.49095756052846,0,0,8,235,1,0
575,Gato,Golden Retriever,73,Gray,Large,2.83246009896097,0,1,1,473,0,0
576,Conejo,Parakeet,122,Brown,Large,18.347437498217328,0,0,29,14,0,0
577,Conejo,Persian,30,Gray,Small,18.452964110358387,1,0,36,143,1,0
578,Ave,Labrador,108,Brown,Small,2.870522001910292,1,1,51,76,0,0
579,Conejo,Persian,98,Orange,Large,29.2031523733762,1,0,37,472,0,0
580,Ave,Labrador,32,Brown,Small,16.776868993542692,1,0,69,477,1,1
581,Conejo,Poodle,156,Brown,Large,17.234075943213163,0,0,53,308,0,0
582,Perro,Golden Retriever,172,Brown,Medium,16.08334702056944,1,0,52,439,1,1
583,Conejo,Labrador,79,Black,Small,18.71122160969398,1,0,88,262,0,1
584,Ave,Persian,41,Black,Medium,8.664692830438893,1,0,83,184,0,1
585,Ave,Parakeet,63,Orange,Medium,9.329999091270384,0,0,12,54,0,0
586,Gato,Labrador,23,Brown,Medium,15.82883360408785,0,0,52,307,0,1
587,Perro,Golden Retriever,104,White,Large,24.393889788143806,1,0,1,3,1,0
588,Conejo,Labrador,75,Orange,Medium,2.446072718331187,1,0,7,298,0,1
589,Gato,Siamese,48,Brown,Medium,18.498722154387135,1,1,17,39,1,0
590,Conejo,Parakeet,160,Brown,Medium,24.396566132683105,1,1,43,229,1,0
591,Conejo,Golden Retriever,57,Black,Large,5.550600889079588,0,0,71,376,0,0
592,Gato,Golden Retriever,118,Orange,Medium,1.4356537174364226,1,0,17,285,1,1
593,Gato,Poodle,100,Brown,Medium,10.068685559102285,1,0,59,137,0,1
594,Gato,Persian,124,Brown,Small,18.056167495158345,0,0,3,477,0,0
595,Gato,Poodle,161,Orange,Large,5.0102120287376835,0,0,29,102,1,0
596,Gato,Golden Retriever,152,White,Medium,13.35754875820208,0,0,22,6,0,0
597,Conejo,Parakeet,167,Orange,Small,17.01732342385406,0,0,38,163,0,0
598,Gato,Labrador,34,Orange,Large,18.3676097479622,1,0,54,418,0,1
599,Perro,Labrador,156,White,Large,8.957939909010879,1,0,50,471,0,1
600,Ave,Parakeet,165,Orange,Large,12.60085944360245,1,0,69,422,0,0
601,Gato,Golden Retriever,7,Brown,Large,23.571837642959203,1,0,30,419,0,1
602,Gato,Labrador,165,Orange,Large,28.29522612949988,1,0,23,364,0,1
603,Conejo,Labrador,56,White,Large,25.99452960242946,1,0,85,275,0,1
604,Gato,Labrador,65,Gray,Medium,17.364221550269527,0,1,47,48,0,0
605,Gato,Persian,47,Orange,Medium,12.89849128537445,1,0,21,95,0,1
606,Gato,Persian,148,Black,Medium,10.655741816771128,1,0,20,58,0,1
607,Conejo,Siamese,19,Brown,Medium,4.623740416436524,0,0,23,230,1,1
608,Gato,Poodle,157,Brown,Small,4.089986169267276,1,0,68,176,0,0
609,Ave,Parakeet,146,Black,Medium,20.962371122496073,1,0,21,89,0,1
610,Conejo,Parakeet,163,Black,Large,8.534038068963651,1,0,21,281,0,0
611,Ave,Parakeet,171,Orange,Medium,8.385188906540957,0,0,1,35,0,0
612,Conejo,Siamese,126,Black,Medium,29.947656579855785,1,0,15,170,0,1
613,Gato,Persian,139,Gray,Large,6.449852778340067,1,0,17,125,1,0
614,Ave,Golden Retriever,49,White,Medium,5.29373302517606,0,0,51,482,1,0
615,Conejo,Golden Retriever,113,Black,Medium,3.861871605037698,0,0,63,298,1,0
616,Perro,Siamese,38,Black,Medium,17.81435500983709,1,1,14,354,1,0
617,Gato,Golden Retriever,64,Gray,Small,19.20805095406094,0,0,59,203,0,0
618,Conejo,Parakeet,69,Brown,Medium,11.591609861449577,1,0,83,288,0,1
619,Perro,Poodle,136,Brown,Large,16.526986729832565,1,0,50,355,1,0
620,Conejo,Labrador,162,Orange,Large,23.863586397402464,0,0,34,461,0,0
621,Perro,Persian,176,Gray,Medium,24.725020881330703,0,0,6,96,1,0
622,Gato,Persian,116,White,Medium,28.7794501957538,1,0,49,237,1,1
623,Ave,Siamese,65,White,Medium,24.903771591763363,0,0,6,172,1,0
624,Perro,Persian,31,Gray,Large,17.380401664805373,0,0,69,300,0,0
625,Conejo,Parakeet,132,White,Large,6.210052009268534,1,1,7,87,1,0
626,Gato,Golden Retriever,113,Brown,Small,3.8931431733824295,1,0,77,398,0,0
627,Perro,Parakeet,109,White,Small,2.580844807414917,1,0,51,350,0,0
628,Conejo,Siamese,178,White,Small,20.32924912177613,0,0,1,16,0,0
629,Conejo,Parakeet,69,Gray,Large,24.418551406541802,1,0,13,139,1,0
630,Conejo,Golden Retriever,158,Gray,Small,15.751834569838291,1,0,43,253,1,0
631,Perro,Poodle,120,White,Medium,2.586711070175558,1,1,27,277,0,0
632,Perro,Siamese,88,Black,Medium,16.528646663148805,1,0,71,150,0,1
633,Perro,Poodle,67,Gray,Large,28.136728584211962,0,0,3,345,0,0
634,Ave,Labrador,75,Orange,Small,18.330782537041355,1,1,58,333,1,0
635,Perro,Poodle,45,Orange,Medium,24.47339716542163,1,0,89,139,0,1
636,Perro,Labrador,4,Brown,Large,24.204426803360768,1,0,17,113,0,1
637,Perro,Labrador,154,White,Small,28.031743893638932,1,0,45,67,0,1
638,Ave,Poodle,155,Black,Medium,23.336634203846327,1,0,78,365,0,1
639,Perro,Siamese,174,Brown,Small,22.683314906379596,0,0,58,178,0,0
640,Conejo,Golden Retriever,107,White,Large,7.788977284148577,1,0,56,124,0,0
641,Perro,Parakeet,51,Gray,Small,2.737829504311362,0,0,54,396,1,0
642,Conejo,Parakeet,50,Orange,Large,16.010384486560426,1,0,87,312,1,0
643,Conejo,Golden Retriever,6,Black,Small,4.608592030455901,1,0,88,310,0,1
644,Conejo,Labrador,59,Orange,Medium,28.903680412061746,1,0,29,337,1,1
645,Ave,Labrador,125,Gray,Large,9.407818116357829,0,0,54,362,0,0
646,Ave,Siamese,143,White,Large,25.7353818981445,1,0,27,411,0,0
647,Ave,Persian,30,Gray,Large,12.24111413087132,1,0,45,357,0,0
648,Perro,Poodle,170,Gray,Small,10.372633245863945,1,0,87,232,0,0
649,Conejo,Labrador,122,Orange,Small,28.119598598922014,0,0,31,427,1,0
650,Ave,Parakeet,125,Black,Medium,11.536354590500496,1,1,36,146,0,0
651,Ave,Siamese,37,Gray,Large,12.318349351230957,0,0,81,429,0,0
652,Perro,Poodle,170,Orange,Large,4.076661608774366,0,0,61,110,1,0
653,Ave,Siamese,124,Black,Small,20.44295329319277,0,1,37,362,0,0
654,Perro,Poodle,101,White,Small,9.37634301984789,0,0,67,357,1,0
655,Gato,Poodle,35,White,Medium,17.98252086734571,1,0,36,237,1,1
656,Ave,Golden Retriever,87,Brown,Medium,18.149199417543073,1,0,5,2,0,1
657,Gato,Labrador,134,Orange,Small,21.856791172277244,1,0,46,210,1,1
658,Perro,Siamese,18,Black,Large,22.612003099000795,0,0,79,403,0,0
659,Conejo,Siamese,113,Gray,Medium,15.919120597644643,1,0,52,24,0,1
660,Ave,Golden Retriever,29,White,Small,10.598766480498687,1,0,49,330,0,0
661,Perro,Parakeet,77,Black,Small,25.286075950207284,0,0,6,183,0,0
662,Conejo,Parakeet,59,Orange,Large,9.986103832846057,1,0,10,464,1,0
663,Conejo,Labrador,175,Brown,Small,15.717763739610612,1,0,23,60,0,1
664,Gato,Labrador,126,White,Small,12.636324912908114,1,0,17,122,0,1
665,Perro,Persian,145,Black,Medium,25.797273193120954,1,0,84,496,1,1
666,Conejo,Golden Retriever,109,Black,Small,13.525637403229036,1,1,44,54,0,0
667,Ave,Parakeet,22,Black,Small,12.196876476287045,0,0,41,162,0,0
668,Ave,Poodle,68,Orange,Medium,21.004887094031485,1,0,15,461,0,1
669,Gato,Siamese,69,Orange,Large,18.47079218598184,0,0,44,186,1,0
670,Conejo,Labrador,165,Orange,Large,4.1101581713795365,1,1,58,38,0,0
671,Perro,Siamese,49,Gray,Medium,15.736895383974934,1,0,86,184,0,1
672,Ave,Siamese,141,Black,Medium,22.32887326166418,1,0,50,82,0,1
673,Conejo,Persian,162,White,Large,29.77016817314933,1,1,52,194,0,0
674,Conejo,Parakeet,109,Orange,Large,19.245258185139253,1,1,70,33,1,0
675,Gato,Labrador,86,Orange,Large,11.738498926798215,0,0,68,112,0,0
676,Ave,Siamese,53,Black,Large,7.558396394261434,1,0,63,424,0,0
677,Ave,Labrador,123,Orange,Large,26.312076790446287,1,0,58,405,0,1
678,Perro,Poodle,87,Gray,Medium,24.62239115129158,1,1,23,229,1,0
679,Ave,Persian,179,Gray,Small,7.783761802602161,1,0,44,282,1,0
680,Perro,Poodle,131,Orange,Large,6.81833061425063,0,1,83,404,0,0
681,Ave,Labrador,42,Black,Large,21.73896652752409,0,0,44,424,0,0
682,Gato,Labrador,98,Black,Small,10.133609795644025,1,0,52,286,0,1
683,Ave,Parakeet,160,Black,Small,9.885565152496778,1,0,67,154,0,0
684,Perro,Siamese,109,Brown,Small,5.416417164962002,0,0,28,164,0,0
685,Perro,Siamese,51,Orange,Small,8.655290071585068,1,0,67,449,0,0
686,Gato,Poodle,85,Black,Small,13.397719170186837,1,0,78,181,0,0
687,Ave,Persian,174,Gray,Small,22.25231178090005,0,0,18,238,1,0
688,Ave,Golden Retriever,127,White,Medium,10.752934737998743,1,0,27,136,0,1
689,Gato,Siamese,21,White,Small,10.529525844915439,1,0,51,338,1,1
690,Ave,Parakeet,44,Black,Small,9.262484324020638,1,0,60,425,0,0
691,Ave,Poodle,139,White,Medium,14.870226357820247,1,0,74,419,1,1
692,Perro,Poodle,103,White,Small,6.2384642402981445,1,0,49,265,0,0
693,Ave,Golden Retriever,68,Brown,Large,15.08329128693164,1,0,15,186,0,0
694,Ave,Parakeet,129,Gray,Large,21.421091129646005,0,1,83,39,1,0
695,Gato,Persian,92,Gray,Small,1.863924616946043,0,0,73,309,0,0
696,Gato,Parakeet,24,Brown,Medium,1.2836020288670942,1,0,68,492,0,1
697,Conejo,Persian,125,Brown,Large,3.1785643944807678,1,0,15,166,0,0
698,Perro,Parakeet,141,White,Medium,16.53414179011525,0,0,51,390,1,0
699,Ave,Parakeet,111,Orange,Large,25.7791974123767,1,0,48,259,0,0
700,Ave,Labrador,98,White,Small,1.1416495145873062,0,1,72,142,1,0
701,Conejo,Poodle,139,Brown,Medium,28.16317783295575,1,1,1,203,0,0
702,Ave,Parakeet,179,Gray,Medium,4.082076835545538,0,0,7,175,0,0
703,Perro,Golden Retriever,17,White,Medium,25.41752231368856,1,0,53,261,0,1
704,Conejo,Parakeet,99,Orange,Large,15.002788184505457,1,0,31,251,0,0
705,Perro,Siamese,82,White,Large,20.121364231086474,0,0,18,328,0,0
706,Conejo,Poodle,104,Black,Large,15.80980654896829,1,0,12,418,0,0
707,Conejo,Siamese,152,White,Small,14.834398530201284,1,0,48,199,0,0
708,Gato,Poodle,19,Brown,Large,25.212083422567353,1,0,30,198,0,1
709,Perro,Siamese,165,Gray,Small,22.920705007466672,0,1,7,195,0,0
710,Ave,Parakeet,85,Gray,Medium,15.01866485916712,1,0,3,313,1,1
711,Ave,Parakeet,8,Brown,Medium,4.237441952485787,0,0,63,76,1,1
712,Perro,Labrador,28,Black,Small,4.346685820117836,1,0,6,18,1,1
713,Ave,Golden Retriever,5,Brown,Large,24.244644360853187,1,1,15,61,0,0
714,Ave,Siamese,145,White,Small,16.35232801907847,1,0,71,326,1,0
715,Perro,Persian,101,Brown,Medium,14.966085066361515,1,0,43,393,0,1
716,Conejo,Labrador,164,Brown,Medium,20.736438399460738,0,0,81,280,0,1
717,Perro,Siamese,118,Black,Small,25.906405919013547,0,0,18,427,1,0
718,Conejo,Siamese,147,White,Large,19.237321187985852,1,0,22,249,1,0
719,Ave,Labrador,64,Orange,Large,23.12258916804789,0,0,61,226,0,0
720,Ave,Parakeet,91,Orange,Small,23.19284519939175,0,0,61,126,0,0
721,Ave,Siamese,117,Gray,Small,11.331582014995814,1,0,53,57,0,0
722,Gato,Parakeet,98,Brown,Large,8.948412673588876,0,1,26,408,0,0
723,Conejo,Labrador,11,Gray,Medium,24.2337579480796,1,0,40,476,1,1
724,Gato,Parakeet,54,Black,Small,11.938184961743062,0,0,88,375,0,0
725,Gato,Poodle,173,Orange,Large,27.19674418915845,1,0,8,203,1,0
726,Perro,Persian,47,Brown,Large,3.021030205173469,1,0,21,242,0,0
727,Gato,Siamese,140,Black,Medium,2.6883078501848496,1,0,43,366,1,1
728,Perro,Golden Retriever,149,Black,Medium,27.883120642940842,0,1,21,423,1,0
729,Perro,Persian,139,Brown,Medium,19.805192511261613,1,1,3,331,0,0
730,Gato,Parakeet,5,Black,Medium,12.008381337001637,1,0,31,499,0,1
731,Conejo,Siamese,20,Brown,Medium,22.8967520296693,1,0,27,325,1,1
732,Conejo,Parakeet,169,Brown,Small,20.497477489815598,1,0,27,251,0,0
733,Conejo,Poodle,46,White,Large,16.40483035776829,1,0,73,393,0,0
734,Conejo,Labrador,12,Gray,Small,3.8673269372168892,0,0,57,321,0,1
735,Conejo,Siamese,70,Black,Small,24.553208031489795,1,0,33,375,0,0
736,Gato,Poodle,17,Black,Small,26.114672529738115,1,1,44,492,1,0
737,Gato,Poodle,115,White,Small,5.992891968026824,1,0,43,408,0,0
738,Ave,Siamese,147,White,Small,25.664837907334935,0,0,31,198,1,0
739,Conejo,Parakeet,154,White,Medium,26.457572019480363,1,1,65,487,0,0
740,Gato,Golden Retriever,48,Orange,Medium,16.933429756366962,1,0,84,342,1,1
741,Ave,Poodle,108,Orange,Large,20.029192050457922,0,0,76,239,0,0
742,Conejo,Persian,52,Orange,Small,12.084882280420251,0,0,17,138,0,0
743,Perro,Poodle,96,Brown,Large,9.171957777768714,0,0,15,121,0,0
744,Ave,Golden Retriever,70,Black,Medium,21.9375112615977,1,1,34,419,1,0
745,Gato,Parakeet,102,Gray,Medium,25.99437932145844,0,1,80,48,0,0
746,Perro,Parakeet,75,Brown,Medium,19.968249035716678,1,1,4,303,1,0
747,Perro,Persian,161,Black,Small,15.836127708749927,1,1,72,114,0,0
748,Perro,Poodle,151,Black,Small,5.608818238480975,1,0,89,342,0,0
749,Ave,Parakeet,143,White,Medium,2.5503026655397267,1,1,79,250,1,0
750,Gato,Golden Retriever,155,White,Large,13.925061917155647,0,1,28,490,0,0
751,Perro,Siamese,179,Brown,Large,2.431137347225217,1,0,73,6,0,0
752,Conejo,Labrador,82,White,Medium,17.51070432530953,1,0,2,218,0,1
753,Perro,Labrador,92,Black,Large,12.099146548215368,0,0,17,76,0,0
754,Perro,Labrador,179,White,Medium,22.958484470777115,0,0,58,178,0,1
755,Ave,Poodle,175,Orange,Large,9.86380640824932,1,0,74,144,0,0
756,Ave,Persian,4,White,Medium,18.19649832805553,1,1,9,415,0,1
757,Gato,Parakeet,135,Black,Large,16.592822130897915,1,1,31,153,1,0
758,Conejo,Siamese,109,Brown,Small,1.1366603401449935,0,0,66,120,1,0
759,Ave,Golden Retriever,163,Gray,Medium,3.099292549665,1,0,88,123,0,1
760,Perro,Siamese,48,White,Medium,9.420678162094594,0,1,62,149,0,0
761,Gato,Golden Retriever,73,Black,Large,26.584817349602186,1,0,19,396,0,0
762,Perro,Poodle,72,Gray,Medium,5.263433692093578,1,0,81,380,1,1
763,Perro,Labrador,116,Gray,Medium,21.615935583355707,1,0,74,267,0,1
764,Ave,Poodle,173,Orange,Medium,29.227630418416332,0,1,55,326,0,0
765,Gato,Persian,81,Gray,Small,23.9264590280435,1,1,28,0,1,0
766,Conejo,Persian,81,Black,Small,8.045415488924274,0,0,50,160,0,0
767,Conejo,Golden Retriever,113,Black,Large,27.34259255197937,1,0,65,243,1,0
768,Ave,Parakeet,96,White,Small,3.700107538743312,1,1,3,374,0,0
769,Ave,Parakeet,72,White,Large,14.576116314251337,0,0,79,397,0,0
770,Gato,Golden Retriever,147,White,Small,26.738715324066,1,0,52,250,1,0
771,Conejo,Persian,63,Gray,Large,19.596705568449224,1,0,10,366,0,0
772,Conejo,Persian,38,Gray,Small,12.995692377103266,1,0,21,63,1,0
773,Conejo,Persian,67,Orange,Small,9.491573135377894,1,0,37,298,0,0
774,Perro,Poodle,69,White,Large,11.877882754232148,1,0,15,247,1,0
775,Conejo,Persian,13,Brown,Medium,15.7593116492693,1,1,87,441,0,1
776,Perro,Siamese,175,Orange,Medium,10.252273966311414,0,0,78,296,0,0
777,Gato,Labrador,31,Brown,Small,29.100068000386692,1,1,79,464,0,0
778,Perro,Persian,114,Gray,Large,28.05925193891821,1,1,74,451,0,0
779,Gato,Golden Retriever,22,Orange,Medium,26.2494725782153,1,0,9,499,0,1
780,Conejo,Labrador,93,Orange,Large,13.23306523015695,1,0,44,114,0,1
781,Conejo,Poodle,171,Black,Medium,21.047751310721637,1,0,39,294,0,1
782,Gato,Golden Retriever,67,Gray,Large,27.182049904042973,0,0,5,0,0,0
783,Ave,Labrador,54,Gray,Small,25.662455142688913,0,0,25,40,0,0
784,Gato,Golden Retriever,138,Orange,Large,13.015483406586021,1,0,56,172,0,0
785,Ave,Poodle,42,Gray,Medium,4.25919543034556,1,0,64,87,0,1
786,Perro,Siamese,64,Orange,Small,3.1932805512019344,1,0,72,481,1,0
787,Perro,Poodle,126,Black,Large,17.734857311545376,1,1,86,97,0,0
788,Perro,Poodle,21,Orange,Medium,19.636210121117017,0,0,52,87,0,1
789,Conejo,Golden Retriever,169,Gray,Small,25.645435533313698,1,0,89,250,0,0
790,Perro,Parakeet,152,Gray,Large,9.4829355898899,1,0,76,334,1,0
791,Ave,Persian,35,Orange,Medium,5.856644225951232,1,1,9,464,0,0
792,Perro,Persian,30,Orange,Large,11.991169162167784,1,0,10,140,0,0
793,Gato,Siamese,57,Orange,Large,11.253678585335976,1,0,10,70,0,0
794,Gato,Siamese,47,White,Small,4.841599666517787,1,0,73,136,0,0
795,Conejo,Persian,163,Gray,Small,20.49619692288141,1,0,62,491,1,0
796,Gato,Parakeet,19,Gray,Medium,15.752066281151903,1,1,60,446,0,1
797,Ave,Persian,114,White,Small,21.91255992732822,1,0,19,98,0,0
798,Perro,Parakeet,8,Orange,Medium,11.228042484922305,1,0,38,150,1,1
799,Conejo,Siamese,26,Black,Large,10.445364135753367,1,0,6,437,0,0
800,Perro,Labrador,113,Orange,Large,14.704699738271813,1,1,15,174,1,0
801,Perro,Golden Retriever,71,Orange,Medium,26.444813016459264,1,0,47,166,0,1
802,Ave,Siamese,30,White,Large,2.1681578952854297,1,1,45,342,1,0
803,Gato,Siamese,135,Gray,Small,24.34015170159769,0,0,5,409,1,0
804,Gato,Poodle,67,Orange,Large,11.700640767074939,1,0,78,256,0,0
805,Perro,Poodle,65,Gray,Small,25.783951747865853,1,0,53,397,1,0
806,Conejo,Poodle,36,Brown,Medium,24.263887256239837,1,0,66,223,0,1
807,Gato,Golden Retriever,25,Gray,Medium,11.114076174486563,1,0,62,498,0,1
808,Conejo,Poodle,37,Black,Large,21.12241952432686,0,1,23,367,0,0
809,Gato,Parakeet,1,Black,Large,5.629349946429764,0,0,44,329,0,0
810,Conejo,Persian,143,Orange,Small,26.99216501274985,0,1,52,64,1,0
811,Ave,Labrador,37,Gray,Small,12.730240869105373,1,0,46,68,0,1
812,Conejo,Siamese,141,Orange,Large,14.213142845300805,1,0,19,66,1,0
813,Ave,Parakeet,136,White,Large,21.46701248007256,1,1,88,432,0,0
814,Ave,Labrador,133,Black,Medium,24.804366864440677,1,0,84,49,0,1
815,Conejo,Parakeet,128,Orange,Medium,7.853939556518078,1,0,47,313,0,1
816,Ave,Parakeet,127,White,Medium,20.179154056432868,0,1,52,308,0,0
817,Perro,Siamese,1,Orange,Large,12.367943272785306,0,0,24,90,1,0
818,Ave,Persian,164,Gray,Large,11.692384796114878,1,0,17,114,1,0
819,Gato,Poodle,35,Gray,Large,21.010748894278986,1,1,89,373,1,0
820,Conejo,Golden Retriever,104,Gray,Medium,12.228314950522096,1,0,46,56,1,1
821,Perro,Persian,23,Gray,Large,11.037146504767822,1,1,64,341,0,0
822,Conejo,Golden Retriever,9,Brown,Small,25.24076383566103,1,0,28,17,0,1
823,Gato,Siamese,34,White,Large,3.9370075910991846,0,0,50,271,0,0
824,Gato,Siamese,174,White,Large,20.60088606207611,1,0,64,129,0,0
825,Gato,Siamese,128,Gray,Large,8.213036419928114,1,0,28,494,0,0
826,Ave,Labrador,4,Brown,Large,1.4494490129595188,1,0,86,268,0,1
827,Ave,Golden Retriever,158,Gray,Large,5.8361637973080684,0,1,56,428,0,0
828,Conejo,Persian,102,Brown,Small,18.593184363500164,1,0,59,79,0,0
829,Conejo,Persian,75,Gray,Small,21.564688553092186,1,0,5,455,1,0
830,Perro,Parakeet,99,Black,Large,1.6106757231332813,0,0,54,298,0,0
831,Perro,Parakeet,72,Black,Medium,2.0563378557498844,1,0,44,455,0,1
832,Conejo,Parakeet,3,Orange,Large,27.17372133044564,0,0,42,309,0,0
833,Ave,Siamese,142,Gray,Large,3.125868725297875,1,0,72,201,1,0
834,Gato,Persian,173,White,Large,26.931282599880568,1,0,57,224,1,0
835,Conejo,Golden Retriever,34,Orange,Medium,7.616811498776268,1,0,47,158,0,1
836,Perro,Siamese,45,Black,Medium,22.46051620458817,1,0,76,203,0,1
837,Ave,Labrador,61,Gray,Medium,9.98226421943435,0,0,25,136,1,1
838,Conejo,Parakeet,83,Orange,Small,25.90380874266633,0,0,44,484,0,0
839,Conejo,Siamese,123,Gray,Medium,21.31319109730638,0,0,15,72,1,0
